iter	Passed	Remaining
0	46	46273
1	46	23259
2	46	15587
3	47	11746
4	47	9449
5	47	7912
6	48	6814
7	48	5991
8	48	5350
9	48	4838
10	49	4419
11	49	4071
12	49	3776
13	50	3523
14	50	3303
15	50	3111
16	51	2954
17	51	2801
18	51	2668
19	51	2545
20	52	2433
21	52	2337
22	52	2248
23	53	2165
24	53	2089
25	53	2020
26	54	1955
27	54	1894
28	54	1837
29	55	1785
30	55	1738
31	55	1693
32	56	1651
33	56	1612
34	57	1573
35	57	1540
36	57	1505
37	58	1472
38	58	1440
39	58	1411
40	59	1384
41	59	1358
42	59	1333
43	60	1309
44	60	1287
45	61	1266
46	61	1246
47	61	1227
48	62	1208
49	62	1190
50	63	1172
51	63	1155
52	63	1139
53	64	1123
54	64	1106
55	64	1091
56	65	1075
57	65	1060
58	65	1046
59	65	1032
60	66	1018
61	66	1005
62	66	995
63	67	984
64	67	972
65	67	961
66	68	950
67	68	940
68	68	930
69	69	921
70	69	912
71	70	903
72	70	894
73	71	889
74	71	883
75	72	878
76	72	869
77	72	860
78	73	852
79	73	844
80	73	835
81	73	827
82	74	818
83	74	810
84	74	803
85	74	796
86	75	789
87	75	782
88	75	775
89	76	768
90	76	761
91	76	755
92	76	749
93	77	742
94	77	736
95	77	730
96	77	724
97	78	718
98	78	712
99	78	706
100	78	701
101	79	695
102	79	690
103	79	685
104	79	680
105	80	675
106	80	670
107	80	665
108	80	660
109	81	655
110	81	651
111	81	646
112	82	644
113	82	639
114	82	635
115	82	630
116	82	626
117	83	622
118	83	618
119	83	614
120	84	611
121	84	607
122	84	604
123	85	601
124	85	598
125	85	595
126	86	591
127	86	587
128	86	585
129	87	582
130	87	579
131	87	576
132	88	573
133	88	570
134	88	568
135	88	565
136	89	562
137	89	560
138	89	557
139	90	554
140	90	551
141	90	547
142	90	544
143	91	542
144	91	539
145	91	536
146	92	533
147	92	533
148	93	531
149	93	529
150	93	526
151	93	523
152	94	522
153	94	519
154	94	517
155	95	514
156	95	512
157	95	510
158	96	507
159	96	505
160	96	502
161	96	500
162	97	498
163	97	496
164	97	494
165	98	492
166	98	490
167	98	488
168	98	485
169	99	484
170	99	482
171	99	480
172	100	478
173	100	476
174	100	475
175	101	473
176	101	471
177	101	470
178	102	471
179	103	470
180	103	468
181	103	466
182	104	464
183	104	462
184	104	460
185	104	458
186	105	456
187	105	454
188	105	453
189	105	451
190	106	449
191	106	447
192	106	446
193	107	444
194	107	444
195	108	443
196	108	441
197	108	440
198	109	438
199	109	437
200	109	435
201	109	433
202	110	432
203	110	430
204	110	428
205	110	427
206	111	425
207	111	423
208	111	422
209	111	420
210	112	419
211	112	417
212	112	416
213	112	414
214	113	412
215	113	411
216	113	409
217	113	408
218	114	406
219	114	405
220	114	403
221	114	402
222	115	401
223	115	399
224	115	398
225	116	397
226	116	396
227	116	395
228	116	393
229	117	392
230	117	391
231	118	390
232	118	389
233	118	388
234	118	387
235	119	385
236	119	384
237	119	383
238	120	382
239	120	381
240	120	379
241	120	378
242	121	377
243	121	376
244	121	375
245	122	373
246	122	372
247	122	371
248	122	370
249	123	369
250	123	368
251	123	366
252	123	365
253	124	364
254	124	363
255	124	362
256	125	361
257	125	360
258	125	359
259	125	358
260	126	357
261	126	356
262	126	354
263	127	354
264	127	353
265	127	352
266	127	351
267	128	350
268	128	349
269	128	348
270	129	347
271	129	346
272	129	345
273	129	344
274	130	343
275	130	342
276	130	341
277	131	340
278	131	339
279	131	339
280	132	338
281	132	337
282	132	336
283	133	335
284	133	334
285	133	333
286	133	332
287	134	331
288	134	330
289	134	329
290	135	329
291	135	328
292	135	327
293	135	326
294	136	325
295	136	324
296	136	323
297	136	322
298	137	321
299	137	321
300	137	320
301	138	319
302	138	318
303	138	317
304	138	316
305	139	315
306	139	314
307	139	313
308	139	312
309	140	312
310	140	311
311	140	310
312	141	309
313	141	308
314	141	307
315	141	306
316	142	306
317	142	305
318	142	304
319	142	303
320	143	302
321	143	301
322	143	301
323	143	300
324	144	299
325	144	299
326	144	298
327	145	297
328	145	296
329	145	296
330	146	295
331	146	294
332	146	293
333	146	292
334	147	292
335	147	291
336	147	290
337	148	289
338	148	289
339	148	288
340	148	287
341	149	287
342	149	286
343	149	285
344	150	284
345	150	284
346	150	283
347	150	282
348	151	281
349	151	281
350	151	280
351	151	279
352	152	278
353	152	278
354	152	277
355	152	276
356	153	275
357	153	275
358	153	274
359	153	273
360	154	272
361	154	272
362	154	271
363	154	270
364	155	269
365	155	269
366	155	268
367	155	267
368	156	266
369	156	266
370	156	265
371	156	264
372	157	264
373	157	263
374	157	262
375	157	261
376	158	261
377	158	260
378	158	259
379	158	259
380	159	258
381	159	257
382	159	257
383	160	256
384	160	256
385	160	255
386	160	254
387	160	253
388	161	253
389	161	252
390	161	252
391	162	251
392	162	250
393	162	250
394	163	249
395	163	249
396	163	249
397	164	248
398	164	248
399	165	247
400	165	247
401	165	246
402	165	245
403	166	245
404	166	244
405	166	243
406	166	243
407	167	242
408	167	242
409	167	241
410	167	240
411	168	240
412	168	239
413	168	238
414	169	238
415	169	237
416	169	236
417	169	236
418	170	235
419	170	235
420	170	234
421	170	233
422	170	233
423	171	232
424	171	231
425	171	231
426	171	230
427	172	230
428	172	229
429	172	228
430	172	228
431	173	227
432	173	227
433	173	226
434	173	225
435	174	225
436	174	224
437	174	224
438	175	223
439	175	223
440	175	222
441	176	222
442	176	222
443	176	221
444	177	221
445	177	220
446	177	219
447	178	219
448	178	218
449	178	218
450	178	217
451	179	217
452	179	216
453	179	216
454	179	215
455	180	214
456	180	214
457	180	213
458	181	213
459	181	212
460	181	212
461	181	211
462	182	211
463	182	210
464	182	210
465	182	209
466	183	209
467	183	208
468	183	207
469	183	207
470	184	206
471	184	206
472	184	205
473	184	205
474	185	204
475	185	204
476	185	203
477	185	203
478	186	202
479	186	201
480	186	201
481	186	200
482	187	200
483	187	199
484	187	199
485	187	198
486	188	198
487	188	198
488	189	197
489	189	197
490	190	197
491	190	196
492	190	196
493	190	195
494	191	195
495	191	194
496	191	193
497	191	193
498	192	192
499	192	192
500	192	191
501	193	191
502	193	191
503	193	190
504	193	190
505	194	189
506	194	189
507	194	188
508	195	188
509	195	187
510	195	187
511	196	186
512	196	186
513	196	185
514	196	185
515	197	185
516	197	184
517	197	184
518	198	183
519	198	183
520	198	182
521	198	182
522	199	181
523	199	181
524	199	180
525	199	180
526	200	179
527	200	179
528	200	178
529	200	178
530	201	177
531	201	177
532	201	176
533	201	176
534	202	175
535	202	175
536	202	174
537	202	174
538	203	173
539	203	173
540	203	172
541	203	172
542	204	171
543	204	171
544	204	170
545	204	170
546	205	169
547	205	169
548	205	168
549	205	168
550	206	167
551	206	167
552	206	166
553	206	166
554	207	166
555	207	165
556	207	165
557	207	164
558	208	164
559	208	163
560	208	163
561	208	162
562	209	162
563	209	161
564	209	161
565	209	160
566	210	160
567	210	160
568	210	159
569	211	159
570	211	158
571	211	158
572	211	157
573	212	157
574	212	156
575	212	156
576	212	156
577	213	155
578	213	155
579	213	154
580	213	154
581	214	153
582	214	153
583	214	152
584	214	152
585	215	152
586	215	151
587	215	151
588	216	150
589	216	150
590	216	149
591	216	149
592	217	148
593	217	148
594	217	148
595	217	147
596	218	147
597	218	146
598	218	146
599	218	145
600	219	145
601	219	145
602	219	144
603	219	144
604	220	143
605	220	143
606	220	142
607	220	142
608	221	141
609	221	141
610	221	141
611	222	140
612	222	140
613	222	139
614	222	139
615	223	139
616	223	138
617	223	138
618	224	137
619	224	137
620	224	137
621	225	136
622	225	136
623	225	135
624	225	135
625	226	135
